iter	Accuracy	Logloss
75	0.8041275334	0.4150538199
76	0.8042511122	0.414919167
77	0.8042511122	0.4147036851
78	0.8044982699	0.41465559
79	0.8044982699	0.4146555867
80	0.8046218487	0.4143497927
81	0.8047454276	0.4141815039
82	0.8047454276	0.4140192102
83	0.8051161641	0.4138359348
84	0.8048690064	0.4135932181
85	0.8043746911	0.4134576232
86	0.8046218487	0.4132960326
87	0.8053633218	0.4131975857
88	0.8058576372	0.4128491351
89	0.8056104795	0.4127051967
90	0.8053633218	0.412682553
91	0.8054869006	0.4126534151
92	0.8054869006	0.4126534142
93	0.8057340583	0.4124022518
94	0.8053633218	0.4122897802
95	0.8053633218	0.4122384409
96	0.8054869006	0.4120095033
97	0.8058576372	0.4116738022
98	0.8057340583	0.4113270301
99	0.8063519525	0.4112082551
100	0.8063519525	0.4108983201
101	0.8064755314	0.4108078735
102	0.8067226891	0.4106751299
103	0.8065991102	0.4106278631
104	0.8064755314	0.4105011023
105	0.8070934256	0.4104006286
106	0.8062283737	0.4102852841
107	0.8062283737	0.4101863093
108	0.8063519525	0.4099862045
109	0.8063519525	0.4098328256
110	0.8068462679	0.4096797406
111	0.8065991102	0.4095914009
112	0.8067226891	0.4095422638
113	0.8067226891	0.4095406974
114	0.8068462679	0.4094395258
115	0.8070934256	0.4093428757
116	0.8070934256	0.4092624517
117	0.8072170044	0.4091109152
118	0.8073405833	0.4088824789
119	0.8074641621	0.4087955822
120	0.8079584775	0.4086501087
121	0.8077113198	0.4085524822
122	0.8077113198	0.408330853
123	0.8077113198	0.4082601972
124	0.8077113198	0.4081492614
125	0.8078348987	0.4081492614
126	0.8077113198	0.4080298179
127	0.8080820564	0.4079378775
128	0.8080820564	0.4078787843
129	0.8082056352	0.4077531184
130	0.8082056352	0.4076913421
131	0.8079584775	0.4074713838
132	0.8080820564	0.4073272834
133	0.8079584775	0.4071830671
134	0.8079584775	0.4071044198
135	0.8085763717	0.4069652105
136	0.8085763717	0.4068888569
137	0.8084527929	0.4066962379
138	0.808329214	0.4066891103
139	0.8085763717	0.4066011227
140	0.8086999506	0.4065829011
141	0.8085763717	0.4062563108
142	0.8090706871	0.4060481497
143	0.8091942659	0.4059539248
144	0.8093178448	0.4056885247
145	0.8093178448	0.4055484092
146	0.8093178448	0.4053723518
147	0.8091942659	0.4053674758
148	0.809935739	0.4052831309
149	0.809935739	0.4051683255
150	0.809935739	0.4050517076
151	0.8100593178	0.404884114
152	0.8103064755	0.4048007656
153	0.8103064755	0.4042444464
154	0.8104300544	0.4042002732
155	0.8103064755	0.4041236176
156	0.8104300544	0.4041066345
157	0.8098121602	0.4039260447
158	0.8103064755	0.4038535124
159	0.8100593178	0.4037275468
160	0.8096885813	0.4036301709
161	0.809935739	0.4035473851
162	0.8105536332	0.403141001
163	0.8104300544	0.4030511094
164	0.8103064755	0.4029674311
165	0.8108007909	0.4028067092
166	0.8108007909	0.4027924424
167	0.8106772121	0.4026192352
168	0.8106772121	0.4025502532
169	0.8106772121	0.4024708838
170	0.8106772121	0.4024482598
171	0.8111715274	0.4023180404
172	0.8114186851	0.4022769233
173	0.8114186851	0.402180033
174	0.8114186851	0.4020970625
175	0.8116658428	0.4020719153
176	0.8116658428	0.4020494469
177	0.811542264	0.4019334811
178	0.8116658428	0.4018023128
179	0.8116658428	0.4016649729
180	0.8114186851	0.4013433664
181	0.8108007909	0.4011830391
182	0.811542264	0.4010304433
183	0.811542264	0.4010304243
184	0.811542264	0.4008665892
185	0.8116658428	0.4007176136
186	0.8116658428	0.4007114603
187	0.8119130005	0.4005339412
188	0.8117894217	0.4002613116
189	0.8117894217	0.4001754033
190	0.8116658428	0.4001653173
191	0.8116658428	0.4001200083
192	0.8117894217	0.4000279956
193	0.8120365793	0.3999436904
194	0.8121601582	0.399869117
195	0.8126544736	0.3995914062
196	0.8127780524	0.3993771252
197	0.8127780524	0.3993727582
198	0.8129016312	0.3991320895
199	0.8129016312	0.3991226154
200	0.8130252101	0.3989694348
201	0.8133959466	0.3989298088
202	0.8137666831	0.3986618526
203	0.8137666831	0.3986109726
204	0.8137666831	0.3985165747
205	0.813890262	0.3984981293
206	0.8140138408	0.3984159537
207	0.8145081562	0.3983623828
208	0.8147553139	0.3982580698
209	0.8147553139	0.3982550603
210	0.8147553139	0.3981490881
211	0.814631735	0.3980404444
212	0.814631735	0.3980333865
213	0.8143845774	0.3978465576
214	0.8142609985	0.3977144918
215	0.8142609985	0.3976105806
216	0.8142609985	0.3975983599
217	0.8142609985	0.3974071892
218	0.8142609985	0.3972964715
219	0.8150024716	0.3970656942
220	0.8151260504	0.3969682949
221	0.8150024716	0.3969581752
222	0.8151260504	0.3968548947
223	0.8150024716	0.3967002405
224	0.8147553139	0.3965823071
225	0.8151260504	0.396492505
226	0.815496787	0.3963425339
227	0.815496787	0.3961981266
228	0.8156203658	0.39616355
229	0.8156203658	0.3960856854
230	0.8158675235	0.3960750957
231	0.815496787	0.3957068526
232	0.815496787	0.39570428
233	0.815496787	0.3956705294
234	0.815496787	0.395670465
235	0.8156203658	0.395564766
236	0.8158675235	0.395269089
237	0.8158675235	0.3951512239
238	0.81623826	0.3951010383
239	0.8163618389	0.3948488503
240	0.8163618389	0.3948075561
241	0.8163618389	0.3947095647
242	0.8164854177	0.3946997552
243	0.8172268908	0.3944463821
244	0.8172268908	0.3943563017
245	0.8171033119	0.3941473961
246	0.8171033119	0.3941355427
247	0.8167325754	0.3937010963
248	0.8168561542	0.3936864919
249	0.8168561542	0.393645218
250	0.8171033119	0.3936031597
251	0.8168561542	0.3934379448
252	0.8169797331	0.3933069415
253	0.8172268908	0.3931100836
254	0.8172268908	0.3929683692
255	0.8169797331	0.3928581189
256	0.8173504696	0.3926457184
257	0.8174740484	0.3926301296
258	0.8175976273	0.3924826672
259	0.8177212061	0.3924266194
260	0.817844785	0.3924169197
261	0.817844785	0.392403878
262	0.8180919427	0.3922059366
263	0.8183391003	0.3921185989
264	0.8189569946	0.3920223748
265	0.8189569946	0.3918985328
266	0.8189569946	0.3917862755
267	0.8192041522	0.3916612784
268	0.8193277311	0.3914044706
269	0.8193277311	0.3913080187
270	0.8192041522	0.3912419661
271	0.8192041522	0.3912122367
272	0.8196984676	0.3909919295
273	0.8195748888	0.3908977317
274	0.8192041522	0.3907410643
275	0.8196984676	0.3905423354
276	0.8196984676	0.390402474
277	0.8203163618	0.3902197498
278	0.8203163618	0.390141486
279	0.8203163618	0.3901292866
280	0.8204399407	0.3900585553
281	0.8198220465	0.389891651
282	0.8204399407	0.3897939813
283	0.8203163618	0.3897600945
284	0.8206870984	0.389523206
285	0.8206870984	0.3894283435
286	0.8205635195	0.3894127269
287	0.8209342561	0.3892826969
288	0.8214285714	0.3891024736
289	0.8216757291	0.3890312817
290	0.8216757291	0.3890255373
291	0.8215521503	0.3888781984
292	0.8221700445	0.3886307513
293	0.8220464656	0.3885705553
294	0.8219228868	0.3883730535
